[2016-12-15 19:14:37] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 19:14:40] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 19:14:40] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:14:40] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 19:14:40] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:14:40] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 19:14:40] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 19:14:45] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 19:14:45] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:14:45] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 19:14:45] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:14:45] DEBUG [django.db.backends:90] (0.003) SHOW FULL TABLES; args=None
[2016-12-15 19:14:45] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 19:22:36] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 19:22:36] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:22:36] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 19:22:37] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:22:37] DEBUG [django.db.backends:90] (0.002) SHOW FULL TABLES; args=None
[2016-12-15 19:22:37] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 19:22:40] DEBUG [django.db.backends:90] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 19:22:40] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:22:40] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 19:22:40] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:22:40] DEBUG [django.db.backends:90] (0.004) SHOW FULL TABLES; args=None
[2016-12-15 19:22:40] DEBUG [django.db.backends:90] (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[2016-12-15 19:22:43] DEBUG [django.db.backends:90] (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-12-15 19:22:43] DEBUG [django.db.backends:90] (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:22:43] DEBUG [django.db.backends:90] (0.000) SELECT VERSION(); args=None
[2016-12-15 19:22:43] DEBUG [django.db.backends:90] (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
[2016-12-15 19:22:43] DEBUG [django.db.backends:90] (0.004) SHOW FULL TABLES; args=None
[2016-12-15 19:22:43] DEBUG [django.db.backends:90] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
